Name,ID,Rating,Preferred,Age,Acceleration,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
Luis Suárez,176580,92,ST,30,88,78,86,92,60,91,83,0,86,86,94,0,0,0,0,0,0,77,0,69,0,86,0,85,93,83,87,0,77,89,0,76,84,88
Robert Lewandowski,188545,90,ST,28,79,80,78,89,79,87,87,0,77,85,91,0,0,0,0,0,0,85,0,84,0,82,0,81,88,83,86,0,82,79,0,84,78,86
Zlatan Ibrahimović,41236,90,ST,35,69,84,86,86,41,90,91,0,82,87,90,0,0,0,0,0,0,80,0,72,0,88,0,91,85,84,93,0,74,75,0,93,83,93
Gonzalo Higuaín,167664,89,ST,29,79,50,75,92,69,85,84,0,74,84,92,0,0,0,0,0,0,80,0,77,0,80,0,70,86,73,86,0,81,73,0,85,70,88
Sergio Agüero,153079,89,ST,28,92,57,86,91,90,89,90,0,82,89,90,0,0,0,0,0,0,68,0,80,0,84,0,80,88,79,87,0,86,74,0,73,83,85
Antoine Griezmann,194765,88,ST,26,87,69,90,91,80,86,81,0,84,87,88,0,0,0,0,0,0,80,0,87,0,82,0,71,90,79,81,0,86,75,0,61,76,87
Alexis Sánchez,184941,88,ST,28,88,80,90,86,87,86,82,0,78,89,85,0,0,0,0,0,0,70,0,85,0,81,0,77,87,80,84,0,84,85,0,72,82,83
Pierre-Emerick Aubameyang,188567,87,ST,27,95,45,80,89,69,82,79,0,78,82,88,0,0,0,0,0,0,79,0,77,0,79,0,82,87,77,81,0,96,79,0,77,77,86
Thomas Müller,189596,86,CF,27,76,57,77,93,72,82,83,0,81,75,87,0,0,0,0,0,0,82,0,81,0,80,0,60,92,81,77,0,79,90,0,67,81,83
Paulo Dybala,211110,86,CF,23,91,48,91,85,85,91,82,0,88,91,88,0,0,0,0,0,0,68,0,75,0,88,0,84,85,83,82,0,86,81,0,65,82,88
Diego Costa,179844,86,ST,28,76,93,58,88,52,83,84,0,62,79,89,0,0,0,0,0,0,82,0,64,0,72,0,76,85,67,84,0,78,85,0,91,74,82
Edinson Cavani,179813,86,ST,30,76,82,82,89,59,80,81,0,75,80,85,0,0,0,0,0,0,88,0,88,0,78,0,84,85,75,85,0,79,90,0,74,77,84
Karim Benzema,165153,86,ST,29,79,65,77,87,60,86,82,0,79,82,87,0,0,0,0,0,0,78,0,70,0,77,0,82,83,86,83,0,82,74,0,78,85,79
Harry Kane,202126,85,ST,23,69,74,74,86,62,82,83,0,71,77,88,0,0,0,0,0,0,83,0,70,0,80,0,82,85,75,86,0,77,84,0,84,72,70
Alexandre Lacazette,193301,85,ST,25,84,70,87,87,84,84,86,0,74,85,87,0,0,0,0,0,0,76,0,78,0,74,0,84,85,80,81,0,87,80,0,79,77,82
Romelu Lukaku,192505,85,ST,23,81,72,62,85,48,79,84,0,64,76,87,0,0,0,0,0,0,83,0,71,0,76,0,80,77,71,88,0,89,80,0,93,70,76
Mauro Icardi,201399,84,ST,24,78,35,75,89,76,79,76,0,58,75,89,0,0,0,0,0,0,84,0,90,0,70,0,78,83,73,81,0,80,72,0,76,64,81
Aduriz,106231,84,ST,36,69,82,53,86,57,80,87,0,61,79,85,0,0,0,0,0,0,94,0,93,0,80,0,77,85,71,83,0,71,66,0,82,73,84
Sebastian Giovinco,184431,83,CF,30,90,73,93,83,93,87,88,0,86,86,81,0,0,0,0,0,0,37,0,53,0,80,0,75,81,78,78,0,86,75,0,48,85,70
Carlos Bacca,207664,83,ST,30,83,68,78,87,75,80,80,0,72,80,88,0,0,0,0,0,0,76,0,77,0,70,0,79,82,72,78,0,83,74,0,76,66,82
Roberto Firmino,201942,83,ST,25,79,64,82,84,81,83,76,0,80,87,82,0,0,0,0,0,0,73,0,81,0,80,0,72,81,83,79,0,79,86,0,76,83,78
Iago Aspas,192629,83,ST,29,86,63,88,85,77,84,69,0,83,85,84,0,0,0,0,0,0,78,0,68,0,82,0,74,86,80,79,0,80,72,0,59,68,86
Anthony Modeste,182212,83,ST,28,75,83,68,85,61,78,79,0,66,73,86,0,0,0,0,0,0,86,0,84,0,72,0,77,84,70,81,0,79,68,0,86,62,87
Mario Mandžukić,181783,83,ST,30,69,88,69,89,55,77,80,0,56,73,84,0,0,0,0,0,0,90,0,85,0,58,0,76,86,71,78,0,75,87,0,87,62,86
Olivier Giroud,178509,83,ST,30,60,76,59,84,52,82,78,0,70,72,84,0,0,0,0,0,0,88,0,82,0,76,0,81,83,77,84,0,58,79,0,88,75,82
Jonas,176769,83,ST,32,72,61,82,86,67,88,83,0,85,84,86,0,0,0,0,0,0,81,0,69,0,84,0,83,83,75,80,0,70,73,0,61,83,85
Kévin Gameiro,176600,83,ST,29,88,66,82,86,77,80,85,0,76,76,86,0,0,0,0,0,0,67,0,84,0,76,0,85,85,79,84,0,86,75,0,64,76,78
Daniel Sturridge,171833,83,ST,27,80,60,78,84,64,81,81,0,62,82,84,0,0,0,0,0,0,73,0,74,0,83,0,75,81,75,83,0,82,70,0,71,74,76
Raffael,144622,82,CF,32,77,66,84,82,83,83,79,0,80,87,81,0,0,0,0,0,0,63,0,71,0,78,0,72,84,84,77,0,72,76,0,63,83,75
Islam Slimani,217699,82,ST,28,69,88,66,86,57,76,79,0,73,74,81,0,0,0,0,0,0,92,0,87,0,72,0,72,84,73,78,0,76,91,0,85,72,79
Morata,201153,82,ST,24,80,54,62,83,56,83,78,0,76,82,81,0,0,0,0,0,0,75,0,79,0,74,0,72,80,74,78,0,86,68,0,82,76,80
Ciro Immobile,192387,82,ST,27,79,77,77,86,63,79,81,0,70,77,86,0,0,0,0,0,0,75,0,78,0,76,0,76,85,70,86,0,85,73,0,76,59,81
Edin Džeko,180930,82,ST,31,68,51,58,87,42,79,76,0,65,75,86,0,0,0,0,0,0,80,0,66,0,69,0,70,78,72,86,0,65,72,0,82,70,75
Javier Hernández,178224,82,ST,28,86,59,81,88,84,79,81,0,67,76,87,0,0,0,0,0,0,82,0,85,0,69,0,76,82,70,76,0,79,75,0,58,72,79
Falcao,167397,82,ST,31,75,72,85,85,75,81,85,0,83,74,83,0,0,0,0,0,0,90,0,92,0,76,0,84,82,67,78,0,68,68,0,73,68,84
Mario Gómez,150418,82,ST,31,68,72,64,84,55,75,85,0,68,74,84,0,0,0,0,0,0,83,0,76,0,78,0,74,80,69,82,0,75,69,0,86,62,78
David Villa,113422,82,ST,35,75,67,76,86,75,85,83,0,83,82,86,0,0,0,0,0,0,66,0,67,0,76,0,88,82,74,80,0,72,73,0,66,71,78
Giovani dos Santos,170369,81,CF,27,87,53,89,80,90,84,78,0,73,83,79,0,0,0,0,0,0,61,0,65,0,79,0,70,80,73,80,0,86,68,0,45,70,79
Andrea Belotti,208596,81,ST,23,80,79,79,85,75,76,75,0,64,76,86,0,0,0,0,0,0,81,0,83,0,67,0,77,78,68,81,0,82,84,0,85,61,80
Wissam Ben Yedder,199451,81,ST,26,86,55,91,83,86,83,82,0,80,85,84,0,0,0,0,0,0,74,0,85,0,69,0,74,80,77,78,0,84,77,0,57,76,76
