,Rating,Preferred,Acceleration,Age,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Attacking_Position,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
0,94,ST,89,32,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88
1,93,RW,92,30,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85
2,92,LW,94,25,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83
3,92,ST,88,30,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88
4,92,GK,58,31,29,52,35,48,70,15,14,30,13,11,91,90,95,91,89,25,30,78,59,16,10,47,12,85,55,25,11,61,44,10,83,70,11
5,91,ST,79,28,80,78,80,89,87,62,77,85,91,84,15,6,12,8,10,85,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87
6,90,GK,57,26,38,60,43,42,64,17,21,18,13,19,90,85,87,86,90,21,30,67,51,12,13,40,12,88,50,31,13,58,40,21,64,68,13
7,90,LW,93,26,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79
8,90,CDM,60,27,60,71,69,89,85,85,85,79,76,84,10,11,13,7,10,54,85,32,93,90,63,73,79,86,90,87,69,52,77,82,74,88,82
9,90,ST,78,29,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88
10,90,CB,75,31,84,79,60,84,80,66,73,61,60,67,11,8,9,7,11,91,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66
11,89,RM,76,26,68,80,75,87,84,90,83,85,83,83,15,13,5,10,13,53,56,65,84,86,30,77,84,88,90,85,40,75,87,51,73,90,82
12,89,GK,46,25,23,61,45,23,52,14,19,13,14,11,85,91,69,86,88,13,15,68,31,17,11,27,13,81,32,36,16,52,38,18,70,44,12
13,89,RM,88,28,80,90,87,87,86,80,78,90,85,78,10,10,15,12,13,70,42,85,73,82,30,77,86,87,81,84,35,84,85,39,72,83,83
14,89,CDM,75,31,62,93,94,92,84,78,79,86,71,77,13,9,7,14,9,55,76,67,83,82,66,80,79,88,92,73,73,71,82,80,58,90,74
